0.01	0.06711	0	0.14148
0.03	0.17252	0	0.05256
0.05	0.99038	0	0.1712
0.07	2.63786	0	0.40694
0.09	4.05142	0	0.54392
0.11	4.37476	0	0.53136
0.13	3.97532	0	0.222
0.15	3.42243	0	0.19514
0.17	2.92973	0	0.1844
0.19	2.54854	0	0.10686
0.21	2.25012	0	0.09528
0.23	1.97701	0	0.10596
0.25	1.80134	0	0.08732
0.27	1.60594	0	0.0666
0.29	1.45321	0	0.05498
0.31	1.29952	0	0.11856
0.33	1.18603	0	0.10784
0.35	1.08169	0	0.0897
0.37	1.01995	0	0.09352
0.39	0.92768	0	0.0933
0.41	0.86267	0	0.09152
0.43	0.79512	0	0.06234
0.45	0.75074	0	0.07502
0.47	0.69408	0	0.05486
0.49	0.62931	0	0.08162
0.51	0.60227	0	0.07078
0.53	0.5587	0	0.07276
0.55	0.53272	0	0.06748
0.57	0.50388	0	0.05592
0.59	0.45918	0	0.06256
0.61	0.42642	0	0.05814
0.63	0.40984	0	0.06028
0.65	0.37779	0	0.0521
0.67	0.35563	0	0.0563
0.69	0.34	0	0.04148
0.71	0.32205	0	0.04292
0.73	0.30286	0	0.04444
0.75	0.28838	0	0.04136
0.77	0.27147	0	0.0419
0.79	0.22742	0	0.06232
0.81	0.17542	0	0.0454
0.83	0.11919	0	0.0331
0.85	0.08324	0	0.03458
0.87	0.05707	0	0.02352
0.89	0.03548	0	0.0186
0.91	0.02111	0	0.01454
0.93	0.01266	0	0.00948
0.95	0.00892	0	0.00722
0.97	0.00292	0	0.00276
0.99	0.00091	0	0.0014
